item_group_id,id,title,description,link,condition,mobile_link,price,sale_price,availability,description_html,image_link,additional_image_link,google_product_category,shipping_weight,brand,gender,age_group,product_type,size_type,size,size_system,colour,material,free_shipping_label,free_shipping_limit,shipping,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,variant_names,variant_values,average_review_rating,number_of_ratings,"number_of_reviews	",gtin,mpn,alt_text,pattern,shipping_height
Bridesmaid Dresses,106865-1,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 2","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,2,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-2,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 4","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,4,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-3,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 6","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,6,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-4,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 8","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,8,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-5,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 10","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,10,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-6,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 12","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,12,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-7,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 14","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,14,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-8,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 16","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,regular,16,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-9,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 16W","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,plus,16W,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
Bridesmaid Dresses,106865-10,"Cap-sleeved Long Sheath Dress with Allover Sequins - Dark Green/Emerald, size 18W","The dress is made-to-order by professional tailors. You can choose from 33 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length, Neckline: Jewel, Back Style: Low-V Back, Sleeve Length: Short Sleeve, Sleeve Style: Cap, Fabric: Sequins, Embellishments: Pleats/Sequins, Style: Elegant/Romantic",https://ms-grace.myshopify.com/products/Cap-sleeved-Long-Sheath-Dress-with-Allover-Sequins,new,,124.29,124.29,in stock,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length</td>
</tr>
<tr>
<td >Back Style</td>
<td >Low-V Back</td>
</tr>
<tr>
<td >Neckline</td>
<td >Jewel</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Short Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Sequins</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Pleats, Sequins",https://img.dorriswedding.com/image/390x560/90/0/fdb8ef008c3f6c52/16d0fdc12ab2833e5020d4ecdf7f4f52.jpg,"https://img.dorriswedding.com/image/390x560/90/0/3a49c4fdda505de3/f8ffe5c57b40ad9c03fee0fe961f8c99.jpg, https://img.dorriswedding.com/image/390x560/90/0/47e180601a9eda5a/a14912129c8e05a9d77b7853a95fc416.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses,plus,18W,US,Dark Green/Emerald,Sequins,TRUE,159,CA::Standard:32.49,Bridesmaid Dresses,106865,,,,,,,,,,,,,
